id,English,,Portuguese,,Danish,,German,,Spanish,,French,,Italian,,Dutch,
558,elastic,elastic,elástico,elástico,elastisk,elastisk,elastisch,elastisch,elástico,elástico,élastique,compressible;extensible,elastico,elastico,elastisch,rekbaar
559,elective,non-urgent,electivo,selectivo,elektiv,udvalgt,elektiv,auswählend,electivo,selectivo,électif,se développant particulièrement dans un certain contexte,elettivo,elettivo,electief,verkozen
560,electrocardiography,heart monitor,electrocardiografia,exame e inscrição em registo dos movimentos cardíacos,elektrokardiografi,optagelse af hjertemuskulaturens aktionsstrømme,Elektrokardiographie,Durchführung des EKG,electrocardiografía,electrocardiografía,électrocardiographie,étude de l'activité électrique du muscle cardiaque,elettrocardiografia,elettrocardiografia,elektrocardiografie,onderzoek van de hartslagcurves
561,electroencephalography,brain scan,electroencefalografia,registo das ondas cerebrais,elektroencefalografi,registrering i en kurve af de elektriske impulser;der dannes i hjernen,Elektroenzephalographie,EEG;Registrierung von Potentialschwankungen des Gehirns,electroencefalografía,electroencefalografía,électroencephalographie,enregistrement des impulsions électriques produites par l'activité cérébrale,elettroencephalografia,elettroencephalografia,elektro-encefalografie,beeld van de elektrische hersenstroom
562,electrolyte,solution which conducts electricity,electrólito,condutor de segunda classe;ácido para acumuladores,elektrolyt,elektrolyt;stof;som ved opløsning i vand gør væsken til en god leder for elektricitet,Elektrolyt,den elektr. Strom leitende und sich durch ihn zersetzen,electrólito,electrólito,électrolyte,corps qui peut être décomposé en ions,elettrolita,sostanza che;in acqua;si dissocia,elektrolyt,verbinding die in waterige oplossing in ionen wordt gesplitst
563,electrophysiological,involving study of electrical phenomena in living bodies,electrofisiológico,relativo à electrofisiologia,elektrofysiologisk,elektrofysiologisk,elektrophysiologisch,zur Physiologie der Erregung gehörend,,,électrophysiologique,relatif à l'électrophysiologie,elettrofisiologico,relativo allo studio dei fenomeni elettrici,elektrofysiologisch,met betrekking tot elektrische verschijnselen in levend weef sel
564,elimination,elimination,eliminação,eliminação;remoção,elimination,udskillelse,Elimination,Ausscheidung,eliminación,eliminación,élimination,élimination,eliminazione,eliminazione,eliminatie,verwijdering
565,embolism,sudden blocking of an artery,embolismo,embolia,embolisme,dannelse af blodprop,Embolie,plötzlicher Verschluß eines Blutgefäßes,embolia,embolia,embolie,embolie,embolia,quando una bolla gassosa chiude un vaso sanguigno,embolie,bloedvatverstopping
566,embryo,embryo,embrião,feto,embryo,foster,Embryo,Embryo,embrión,feto,embryon,embryon,embrione,primo stadio del neonato,embryo,vrucht in het moederlichaam
567,emesis,vomiting,emésis,vómito,emesis,opkastning,Emesis,Erbrechen,emesis,vómito,vomissement,vomissement,emesi,vomito,emesis,braking
568,emetic,substance to cause vomiting,emético,substância que provoca vómitos,emetica,brækmiddel,Emetikum,Brechmittel,emético,sustancia que provoca el vómito,émétique,vomitif,farmaco emetico,farmaco per far vomitare,emeticum,braakmiddel
569,emollient,soothing,emoliente,que amolece a pele,blødgørende,blødgørende,Brechmittel,geschmeidig machend;erweichend,emoliente,que ablanda la piel,émollient,adoucissant,emolliente,che rammollisce,emolliens,middel om weker te maken
570,emotional,emotional,emocional,emocional,emotionel,følelsesbetonet,emotional,emotional,emocional,emocional,1) émotionnelémotif - 2 émotif,1) relatif à l'émotion - 2) réagissant fort à une émotion,emozionale,emozionale,emotioneel,gevoelsmatig
571,emphysema,lung disease,enfisema,presença excessiva de ar nos pulmões ou tecidos corporais,emfysem,luftansamling i vævene;særligt i lungerne,Emphysem,Aufgeblasensein durch Gase,enfisema,presencia excesiva de aire en pulmones o tejidos corporales,emphysème,gonflement;dilatation,enfisema,dilatazione dei polmoni con perdita di elasticità,emfyseem,luchtzucht
572,empiric,based on experience,empírico,baseado na experiência,empirisk,på grundlag af erfaringer,empirisch,auf Erfahrung beruhend,empírico,que se basa en la experiencia,empirique,empirique;expérimental,empirico,fondato sull'esperienza e sulla pratica,empirisch,wat op waarneming berust
573,empyema,collection of pus,empiema,abcesso;acumulação de pus,empyem,betændelse med pusansamling i legemshule,Empyem,Eiteransammlung,empiema,colección de pus en una cavidad natural,empyème,amas de pus,empiema,raccolta di pus in una cavità dell'organismo,empyeem,etterophoping
574,emulsify,turn into an emulsion,emulsionar,dissolver uma substância noutra,emulgere,opslemme,emulgieren,in Emulsion umwandeln,emulsionar,disolver una sustancia en otra,émulsionnerémulsifier,faire une émulsion,emulsionare,ridurre ad un liquido,emulgeren,een melkachtige oplossing vormen
575,emulsion,suspension of one liquid in another,emulsão,emulsão,emulsion,opslemming,Emulsion,Emulsion,emulsión,emulsión,émulsion,dispersion d'un liquide insoluble dans un autre liquide,emulsione,dispersione di un liquido,emulsie,vloeistof in fijne druppels in een andere vloeistof aanwezig
576,enanthema,eruption on a mucous surface,enantema,erupção nas mucosas,enantem,udbrud af pletter eller blærer på slimhinde,Enanthem,Schleimhautausschlag,enantema,manchas rojas en las mucosas,énanthème,éruption touchant les muqueuses,enantema,eruzioni delle mucose,enantheem,uitslag op de slijmvliezen
577,encephalitis,brain inflammation,encefalite,inflamação do cérebro,encephalitis,hjernebetændelse,Enzephalitis,Gehirnentzündung,encefalitis,inflamación del cerebro,encéphalite,inflammation de l'encéphale,encefalite,infiammazione delle parti centrali del sistema nervoso,encefalitis,hersenontsteking
578,encephalopathy,brain disease,encefalopatia,doença que afecta o funcionamento do cérebro,encephalopathia,hjernelidelse,Enzephalopathie,krankhafte;nichtentzündliche Hirnveränderung,encefalopatía,enfermedad que afecta al funcionamiento del cerebro,encéphalopathie,affection du cerveau,encefalopatia,malattia con lesioni del tessuto del cervello,encefalopathie,hersenziekte
579,endemic,occuring continuously in a population,endémico,próprio a uma região ou população específica,endemisk,egnsbestemt,endemisch,örtlich begrenzt auftretende Krankheit,endémico,que se presenta como propio de una población,endémique,qui est habituellement présent,endemico,di malattia che ha carattere costante e frequente,endemisch,inheems
580,endocarditis,heart  inflammation,endocardite,inflamação da membrana de revestimento interno do coração,endocarditis,hjertehindebetændelse,Endokarditis,Entzündung der Herzinnenhaut,endocarditis,inflamación de la membrana de revestimiento interior del corazón,endocardite,inflammation de la membrane tapissant la paroi interne du coeur,endocardite,infiammazione della parete interna che riveste il cuore,endocarditis,ontsteking van de hartwand
581,endocrine,internal secretion-related,endócrino,que secreta hormonas,endokrin,med intern sekretion,endokrin,in den Blutkreislauf Stoffe absondernd,endocrino,que secreta hormonas,endocrine,glande à sécrétion interne,endocrino,che provvede ad una secrezione interna,endocrien,met inwendige afscheiding in de bloedstroom
582,endogenous,without obvious external cause,endógeno,que se desenvolve ou surge num organismo,endogen,indefra stammende,endogen,im Körper entstehend,endógeno,que se desarrolla u origina dentro del organismo,endogène,dû à des causes internes,endogeno,che ha origine interna,endogeen,van binnen uit
583,endometriosis,condition related to painful periods,endometriose,proliferação da mucosa uterina fora do seu lugar habitual,endometriosis,forekomst af livmoderens slimhinde uden for livmodern,Endometriose,gutartige Wucherung von Gebärmutterschleimhaut,endometriosis,proliferación de la mucosa uterina fuera de su lugar habitual,endométriose,présence de muqueuse utérine en dehors de l'utérus,endometriosi,presenza ed aumento progressivo della mucosa nell'utero,endometriose,vorm van baarmoederkanker
584,endoscopy,internal examination using fibre optic tube,endoscopia,exame interno por via directa com o endoscópio,endoskopi,indvendig undersøgelse af legemshulheder ved hjælp af rørformet instrument forsynet med lyskilde,Endoskopie,diagnostische Betrachtung von Körperhöhlen,endoscopia,inspección de una cavidad del cuerpo por medio del endoscopio,endoscopie,examiner au moyen d'un endoscope,endoscopia,esame dell'organismo con apparecchi ottici,endoscopie,onderzoek van lichaamsholten
585,endothelium,lining of heart and blood vessels,endotélio,capa interna que reveste as cavidades cardíacas e os vasos sanguíneos e linfáticos,endotel,enlaget pladeepitel;dækvæv,Endothel,Innenhäutchen der Lymph-;Blutgefäße,endotelio,capa interna que reviste las cavidades cardíacas y los vasos sanguíneos y linfáticos,endothélium,tissu qui recouvre les surfaces internes du coeur et des vaisseaux,endotelio,tessuto di cellule appiattite,endotheel,inwendig bekleedsel van bloed- en lymfvaten
586,endotoxic,heat stable toxin-related,endotóxico,relativo às endotoxinas,endotoksisk,om endotoksiner;giftstoffer;som først frigøres;når bakterierne er gået til grunde,endotoxisch,Endotoxin betreffen,endotóxico,relativo a las endotoxinas,endotoxique,relatif à l'endotoxine,endotossico,sostanza tossica interna,endotoxisch,met betrekking tot gifstoffen uit afgestorven bacteriën
587,enema,enema,enema,clister;irrigação,lavement,lavement;indhældning i endetarmen,Klysma,Klistier,enema,lavativa,lavement,lavement,clistere,iniezione,enema,lavement
588,energetic,energetic,energético,relativo à energia,energisk,energisk,energisch,energisch,energético,relativo a la energía,énergétique,relatif à l'énergie,energetico,energetico,energetisch,met betrekking tot arbeid
589,entericcoated,coating on tablets,revestimento intestinal,revestimento intestinal,enterisk overtrukket,enterisk overtrukket;form for overtrækning af piller og kapsler,magensaftresistent,erst löslich im Darm,queratinizado,recubierto por una sustancia resistente a la secreción gástrica,kératinisé,enrobé d'une substance analogue à la kératine,enterico rivestito,rivestimento speciale per capsule per l'intestino,enteric-coated,van een mantel voorzien
590,enteritis,small intestine inflammation,enterite,catarro intestinal;colite,enteritis,tyndtarmsbetændelse,Enteritis,Entzündung der Darmwand,enteritis,inflamación del intestino delgado,entérite,inflammation de l'intestin grêle,enterite,infiammazione dell'intestino,enteritis,ontsteking van de ingewanden
591,enterocolitis,intestine inflammation,enterocolite,inflamação dos intestinos delgado e grosso,enterocolitis,tarmkatar,Enterokolitis,Schleimhautentzündung des Dünn- und Dickdarms,enterocolitis,inflamación de los intestinos delgado y grueso,entérocolite,inflammation de l'intestion grêle et du côlon,enterocolite,infiammazione sia del piccolo intestino che del crasso,enterocolitis,darmontsteking
592,enterohepatic,intestine and liver-related,entero-hepático,referente ao intestino e ao fígado,enterohepatisk,tarm-og-lever-,enterohepatisch,die Leber und den Darm betreffend,enterohepático,que se refiere al intestino y al hígado,enterohépatique,qui affecte les intestins et le foie,enteroepatico,che interessa l'intestino ed il fegato,enterohepatisch,met betrekking tot dunne darm en lever
593,enuresis,bedwetting,enurese,aniscuria;incontinência de urina,enuresis,ufrivillig vandladning,Enurese,Bettnässen,enuresis,emisión involuntaria de la orina,énurèse,incontinence d'urine,enuresi,perdita involontaria di urina,enurese; enuresis,bedwateren
594,environment,environment,ambiente,,milieu,miljø,Milieu,Umweltfaktoren,entorno,entorno,environnement,environnement,ambiente,ambiente,milieu,omgeving
595,enzyme,enzyme,enzima,enzima,enzym,enzym;stof;som fremskynder omsætningen af organiske stoffer,Enzym,Ferment,enzima,enzima,enzyme,substance qui active une réaction chimique,enzima,molecola di proteine che determina reazioni chimiche,enzym,giststof
596,eosinophilia,increase in white blood cells,eosinofilia,aumento das células eosinófilas no sangue,eosinofili,forøget antal af art af hvide blodlegemer,Eosinophilie,Neigung bestimmter Zell- und Gewebsstrukturen sich mit,eosinofilia,aumentación de células eosinófilas en la sangre,éosinophilie,augmentation d'un type de globules blancs,eosinofilia,formazione ed accumulo di globuli binachi speciali,eosinofilie,toename van het aantal eosinofiele cellen in het bloed
597,epicondylitis,tennis elbow,epicondilite,inflamação do epicôndilo,epicondylitis,tennisalbue;betændelse i vævet i overarmen,Epicondylitis,Entzündung eines Knochenvorsprungs,epicondilitis,inflamación del epicóndilo,épicondylite,inflammation des muscles du coude,epicondilite,infiammazione poco sopra l'omero,epicondylitis,ontsteking van een knobbel aan een gewrichtsuitsteeksel
598,epidemic,epidemic,epidemia,epidemia,epidemisk,epidemisk,epidemisch,seuchenartig auftretend,epidemia,epidemia,épidémique,qui a un caractère d'épidémie,epidemia,epidemia,epidemie,besmettelijke ziekte die zich snel uitbreidt
599,epidemiological,involving study of epidemics,epidemiológico,relativo ao estudo da propagação das doenças,epidemiologisk,om sygdommenes rumlige og tidsmæssige fordeling og udbredelse og de herfor tilgrundliggende faktorer,epidemiologisch,die Lehre von der Häufigkeit und Verteilung von Krank,epidemiólogo,relativo al estudio de la distribución de enfermedades,épidémiologique,relatif à étude des épidémies,epidemiologico,relativo all'igiene che si occupa di malattie infettive,epidemiologisch,met betrekking tot besmettelijke ziekten
600,epidermal,skin-related,epidérmico,relativo à pele,edipermal,dækvævs-,epidermal,die Oberhaut betreffend,epidérmico,relativo a la piel,épidermique,relatif à l'épiderme à lapeau,epidermico,relativo alla pelle,epidermaal,behorend tot de opperhuid
601,epidural,painkiller during childbirth,epidural,sobre ou por fora da dura-mater,epidural,udenpå hjernehinden,epidural,auf  der Dura mater,epidural,sobre o por fuera de la duramadre,épidural,en dehors de la dure-mère,epidurale,che si trova sopra la membrana esterna del cervello,epiduraal,buiten het harde hersenvlies
602,epigastralgia,upper abdomen pain,epigastralgia,dor na boca do estômago,epigastralgia,smerter i mellemgulvet,Epigastralgie,Schmerzen im mittleren Oberbauch,epigastralgia,dolor alrededor del estómago,épigastralgie,douleur de la partie supérieure du ventre,epigastralgia,dolori nella parte alta dell'addome,epigastralgie,pijn in de bovenbuik
603,epigastric,upper abdomen-related,epigástrico,na boca do estômago,epigastrisk,hørende til mellemgulvet;mellem navle og brystben,epigastrisch,zum mittleren Oberbauch gehörend,epigástrico,relativo a la porción superior del vientre,épigastrique,relatif à l'épigastre,epigastrico,relativo alla parte alta dell'addome,epigastrisch,met betrekking tot de bovenbuik
604,epilepsy,epilepsy,epilepsia,crises convulsivas,epilepsi,epilepsi,Epilepsie,Epilepsie,epilepsia,epilepsia,épilepsie,épilepsie,epilessia,perdita di coscienza;convulsioni;incontinenza,epilepsie,vallende ziekte
605,epiphyseal,bone growth-related,epifisário,relativo à cabeça de um osso largo,epifyse-,vedrørende epifysen (endestykket af en lang rørknogle,epiphysär,die Zirbeldrüse oder Gelenkenden betreffend,epifisario,relativo a la cabeza de un hueso largo,épiphysaire,1) relatif à l'extrémité d'un os long - 2) relatif à une glande du cerveau,epifisario,relativo alla ghiandola interna del cranio,epifysair,met betrekking tot de groeischijf
606,episiotomy,cut to vagina in childbirth,episiotomia,corte vaginal para facilitar o parto,episiotomi,udvidende snit i skedeindgangen,Episiotomie,Scheidendammschnitt,episiotomía,corte vaginal,épisiotomie,incision pratiquée lors d'un accouchement,episiotomia,incisione chirurgica sotto la vagina per la gravidanza,episiotomie,verwijding van de schede-ingang
607,episode,episode,episódio,episódio,episode,episode,Episode,Episode,episodio,episodio,épisode,épisode,episodio,attacco,episode,op zichzelf staande gebeurtenis
608,epistaxis,nosebleed,epistaxe,hemorragia nasal,epistaxis,næseblødning,Epistaxis,Nasenbluten,epistaxis,sangrar por la nariz,épistaxis,saignement de nez,epistassi,emorragia del naso,epistaxis,neusbloeding
609,epithelioma,a cancer,epitelioma,tumor da pele ou da mucosa,epiteliom,hudkræft,Epitheliom,Geschwulst aus Epithelzellen,epitelioma,tumor de la piel o de la mucosa,épithélioma,carcinome,epitelioma,tumore maligno,epithelioom,gezwel dat van dekweefsel uitgaat
610,epithelium,covering of internal and external body surfaces,epitélio,tecido de cobertura ou de revestimento interior;pele ou mucosas,epitel,dækvæv,Epithel,Deckgewebe,epitelio,la piel y las mucosas,épithélium,tissu qui recouvre les surfaces internes et externes de l'organisme,epitelio,rivestimento con cellule ad uno o più strati,epitheel,dekweefsel
611,equivalent,equivalent,equivalente,de igual valor,ækvivalent,tilsvarende,äquivalent,gleichwertig,equivalente,de igual valor,équivalent-gramme,milliéquivalent,equivalente,simile,equivalent,gelijkwaardig
612,erection,erection,erecção,'tesão';entumescimento do pénis,erektion,erektion,Erektion,Steifwerden des Penis,erección,erección,érection,érection,erezione,erezione,erectie,oprichting van het mannelijk lid
613,ergotism,poisoning,ergotismo,intoxicação crónica pelo uso alimentar do centeio atacado de cravagem,ergotisme,meldrøjeforgiftning,Ergotismus,Vergiftung durch Mutterkorn,ergotismo,intoxicación producida por el cornezuelo del centeno,ergotisme,forme dangereuse d'empoisonnement,ergotismo,tipo di intossicazione,ergotisme,kriebelziekte
614,erosion,erosion,erosão,desgaste;destruição ou ulceração de um tecido,erosion,afslidning,Erosio,nässender Substanzverlust der Haut oder Schleimhaut,erosión,desgaste;destrucción o ulceración de un tejido,érosion,usure superficielle de la peau-de l'émail dentaire,erosione,erosione,erosie,oppervlakkige beschadiging
615,eructation,belching,eructação,arroto,eructatio,opstød,Eruktation,Aufstoßen,eructo,eructo,éructation,renvoi;rot,eruttazione,emissioni di gas dallo stomaco,eructatio,oprisping
616,eruption,breaking out,erupção,evacuação súbita de sangue;pus;etc.,eruption,udbrud,Eruption,Ausbruch,erupción,brote de un diente;sarpullido,éruption,lésion de la peau,eruzione,eruzione,eruptie,plotselinge huiduitslag
617,erysipelas,skin infection,erisipela,infecção grave e contagiosa da pele por estreptococos,erysipelas,rosen;akut streptokoklidelse med feber;svulst og rødme af det angrebne hudparti,Erysipel,Rose,erisipela,erisipela,érysipèle,maladie de la peau,erisipela,malattia contagiosa con chiazze rosse e gonfiore,erysipelas,wondroos
618,erythema,skin redness,eritema,ruborização;inflamação da pele,erythema,hudrødme,Erythem,Hautrötung,eritema,enrojecimiento en la piel,érythème,rougeur de la peau,eritema,arrossamento della pelle,erytheem,roodheid van de huid
619,erythrasma,bacterial skin infection,eritrasma,doença da pele que aparece sobretudo na face interna das coxas;virilhas e axilas,erythrasma,overfladisk betændelse i armhuler og omkring kønsdelene hos mænd,Erythrasma,Zwergflechte,eritrasma,enfermedad de la piel en la que aparece;sobre todo en las caras internas de los muslos;las ingles y las axilas;una placa amarilla pardusca,érythrasma,maladie de la peau,eritrasma,infezione batterica superficiale della pelle,erythrasma,blijvende huidinfectie
620,erythropoiesis,red cell production,eritropoiese,formação de glóbulos vermelhos,erythropoiesis,dannelse af røde blodlegemer,Erythropoese,Bildung von roten Blutkörperchen,eritropoyesis,formación de los glóbulos rojos,érythropoïèse,processus de formation des globules rouges,eritropoiesi,produzione di globuli rossi del sangue,erytropoëse,vorming van rode bloedlichaampjes
621,euphoria,euphoria,euforia,sensação anormal de bem-estar,euphori,kunstig opstemthed,Euphorie,Euphorie,euforia,sensación anormal de bienestar,euphorie,euphorie,euforia,euforia,euforie,verhoogd gevoel van welzijn
622,evacuation,emptying,evacuação,evacuação,evacuatio,udtømning,Evakuation,künstliche Entleerung eines Hohlorgans,evacuación,vaciado de un órgano hueco o un absceso,évacuation,évacuation,evacuazione,evacuazione,evacuatie,ontlediging
623,evaluation,evaluation,avaliação,avaliação,evaluering,bedømmelse,Evaluation,Bewertung,evaluación,evaluación,évaluation,évaluation,valutazione,valutazione,evaluatie,beoordeling
624,evolution,evolution,evolução,desenvolvimento,evolution,udvikling,Evolution,Entwicklung,evolución,evolución,évolution,évolution,evoluzione,evoluzione,evolutie,ontwikkeling
625,exacerbation,worsening,exacerbação,pioramento;gravamento,exacerbatio,akut forværrelse,Exazerbation,Verschlimmerung einer Krankheit,exacerbación,empeoramiento,exacerbation,aggravation passagère,esacerbazione,spinta all'eccesso,exacerbatie,verergering
626,exanthema,skin rash,exantema,erupção vermelha da pele,eksantem,hududslæt,Exanthem,Hautausschlag,exantema,erupción en la piel,exanthème,éruption cutanée;de la peau,esantema,eruzione cutanea rossa;sintomo di malattie infettive,exantheem,huiduitslag
627,excessive,excessive,excessivo,demasiado,excessiv,overdreven,exzessiv,ausbündig,excesivo,desmesurado,excessif,excessif,eccessivo,eccessivo,excessief,overdreven
628,excipient,inactive part of drug,excipiente,substância inerte num preparado farmacológico,excipiens,den formgivende del af et lægemiddel,Trägersubstanz,Bindemittel;Hülle einer Arznei,excipiente,sustancia inerte en un preparado farmacéutico,excipient,substance neutre,eccipiente,sostanza nella quale viene incorporato un farmaco,excipiens,bestanddeel van een geneesmiddel
629,excitation,excitation,excitação,irritação;estímulo;estimulação,excitatio,ophidselsestilstand,Exzitation,Erregung,excitación,irritación;estimulación,excitation,excitation,stimolazione,stimolazione,excitatie,opgewondenheid
630,exclusive,exclusive,exceptuado,não compreendido;sem contar,ekskluderet,udelukkende,exklusiv,ausschließlich,exclusivo,que excluye;único;solo;absoluto;total,exclusif,exclusif,esclusivo,esclusivo,exclusief,wat andere mogelijkheden uitsluit
631,excretion,removal of waste,excreção,eliminação prlo próprio organismo;eliminação de um medicamento sem substituição,ekskretion,udskillelse,Exkretion,Ausscheidung,excreción,eliminación por el propio organismo;eliminación de un medicamento sin cambio,excrétion,élimination;évacuation,escrezione,funzione naturale di espulsione di materie superflue,excretie,uitscheiding
632,exfoliation,shedding of cells,esfoliação,escamação,exfoliatio,stærk afskalning,Exfoliatio,Abblättern,exfoliación,desprendimiento en escamas o capas,exfoliation,élimination des cellules mortes de la peau,esfoliazione,desquamazione,exfoliatie,afschilfering
633,exocrine,glands which secrete outwards,exócrino,de secreção externa,eksokrin,med ydre sekretion,exokrin,nach außen absondernd,exocrino,que secreta hacia afuera,exocrine,glande à sécrétion externe,esocrino,ghiandole le cui espulsioni vanno in cavità preformate,exocrien,afscheidend door middel van een afvoerbuis
634,exogenous,with an external origin,exógeno,por causas externas;introduzido no corpo do exterior,exogen,udefra kommende,exogen,durch Äußere Ursachen entstanden,exógeno,por causas externas;introducido en el cuerpo desde fuera,exogène,qui est dû à des causes externes,esogeno,che proviene o nasce dall'esterno,exogeen,door oorzaken van buitenaf
635,exophthalmos,protuding eyes,exoftalmia,olhos salientes,exophthalmus,fremstående øjne,Exophthalmus,krankhaftes Vortreten des Augapfels,exoftalmía,propulsión del globo del ojo,exophtalmie,propulsion du globe oculaire hors de l'orbite,esoftalmo,anormale sporgenza dei globi degli occhi,exoftalmie,uitpuiling van het oog
636,expectorant,cough medicine,expectorante,remédio para desprender o muco dos pulmões e facilitar a tosse,expectorans,slimdrivende middel,Expektorans,Mittel;die die Schleimhaut aus den oberen Luftwegen,expectorante,medicamento que favorece la eliminación de moco de las vías respiratorias y los pulmones,expectorant,expectorant,espettorante,espettorante,expectorans,geneesmiddel dat het ophoesten bevordert
637,experimental,experimental,experimental,baseado em ensaios,eksperimental,forsøgs-,experimental,experimental,experimental,que se basa en experimentos,expérimental,expérimental;empirique,sperimentale,sperimentale,experimenteel,proefondervindelijk
638,expiration,breathing out,expiração,expiração,exspiratio,udånding,Exspiratio,Ausatmung,espiración,espiración,expiration,expiration,espirazione,espirazione,expiratie,uitademing
639,extension,moving apart,extensão,movimento de endireitar uma articulação,ekstension,stræk,Extension,Ausdehnung,extensión,despliegue,estensione,estensione,extensie,strekken
640,external,external,externo,externo;estranho,ekstern,udvortes,extern,äußerlich,externo,situado fuera;de fuera;extraño,externe,externe,esterno,esterno,extern,uitwendig
641,extracellular,outside cells,extracelular,fora das células,extracellulær,uden for cellen,extrazellulär,außerhalb der Zelle,extracelular,situado fuera de las células,extracellulaire,extracellulaire,extracellulare,fuori dalle cellule,extracellulair,buiten de cel gelegen
642,extracorporeal,outside the body,extracorporal,fora do corpo,extrakorporal,udenfor legemet,extrakorporal,außerhalb des Körpers,extracorporal,situado fuera del cuerpo;desviado fuera del cuerpo,extracorporelle,provisoirement dérivée hors du corps,extracorporeo,fuori dal corpo,extracorporaal,buiten het lichaam
643,extract,extract,extracto,preparação concentrada de uma droga,extractum,ekstrakt,Extrakt,Auszug,extracto,preparación concentrada de una droga,extrait,extrait,estratto,estratto,extract,ingedikt aftreksel
644,extraction,removal,extracção,ablação,extractio,udtrækning,Extraktion,Herausziehen,extracción,extirpación quirúrgica,extraction,extraction,estrazione,estrazione,extractie,uittrekking
645,extrapyramidal,part of central nerve system,extrapiramidal,situado fora da via piramidal,extrapyramidal,extrapyramidal;udenfor pyramidebanerne,extrapyramidal,außerhalb der Pyramidenbahn,extrapiramidal,situado fuera de la vía piramidal,extrapyramidal,voie motrice située dans le cerveau et le moelle épinière,extrapiramidale,cambiamento prematuro della posizione di un organismo,extrapiramidaal,buiten de piramidebaan
646,extrarenal,outside the kidney,extra-renal,situado fora dos rins,extrarenal,udenfor nyrerne,extrarenal,außerhalb der Niere,extrarrenal,situado fuera del riñón,extrarénal,extérieur au rein,extrarenale,esterno ai reni,extrarenaal,buiten de nier
647,extrasystole,premature heart contraction,extra-sístole,pulsação fora do tempo,extrasystole,for tidlig hjertekontraktion med efterfølgende lang pause,Extrasystole,vorzeitige Kontraktion des Herzmuskels,extrasístole,latido prematuro del corazón,extrasystole,contraction anormale du coeur,extrasistole,contrazione cardiaca prematura,extrasystole,ontijdige hartsamentrekking
648,extravasation,escape of blood or fluid into tissue,extravasação,derrame do fluido de um vaso para os tecidos circundantes devido a uma lesão,extravasatio,proces;som resulterer i at blod og lymfe træder ud af karrene og ligger i vævene,Extravasation,ausgetretene Körperflüssigkeit,extravasación,derrame de sangre,extravasation,passage d'un liquide organique dans les tissus,stravaso,emorragie o attacchi,extravasatie,vochtuitstorting
649,extravascular,outside a vessel,extravascular,situado fora de um vaso,extravasculær,uden for kar,extravaskulär,außerhalb eines Blut- oder Lymphgefäßes,extravascular,situado fuera de un vaso,extravasculaire,extérieur au vaisseau sanguin,extravascolare,fuori dal sistema vascolare,extravasaal; extravasculair,buiten een bloedvat
650,extreme,extreme,extremo,que está afastado,ekstrem,yderligst,extrem,extrem,extremo,que está alejado,extrême,extrême,estrema,estrema,extreem,uiterst
651,extremity,extremity,extremidade,membros superior e inferior,extremitet,ekstremitet,Extremität,Gliemaß,extremidades,miembros superior e inferior,extrémité (f),pied et;ou main,estremità,estremità,extremiteit,één van de ledematen
652,exudate,leaded fluid,exsudado,líquido que aparece numa superfície inflamada,exudat,betændelsesvæske,Exsudat,durch Entzündung bedingter Austritt von FlüssigkeitPSY,exudado,líquido que aparece en una superficie inflamada,exsudat,liquide organique de nature inflammatoire,essudato,materiale che viene a formarsi durante infiammazioni,exsudaat,ontstekingsvocht
653,facial,facial,facial,relativo à cara,facial,ansigts-,fazial,das Gesicht betreffend,facial,relativo a la cara,facial,de la face,facciale,facciale,faciaal,met betrekking tot het aangezicht
654,factor,factor,factor,causa;agente;meio;número,faktor,faktor,Faktor,Faktor,factor,causa,facteur,facteur,fattore,fattore,factor,meewerkende oorzaak
655,faecal,faecal,fecal,relativo às fezes,fækal,afførings-,fäkal,Stuhl betreffend,fecal,relativo a los excrementos,fécal,relatif aux selles,fecale,relativo agli escrementi,faecaal,met betrekking tot de ontlasting
656,faeces,faeces,fezes,matérias fecais;excrementos,fæces,afføring,Fäzes,Stuhl,heces,excrementos;deposiciones,fèces,selles;matières fécales,feci,OT,faeces,drek
657,fasciculation,twitch,fasciculação,contracção de grupos de músculos,fasciculaton,muskeltrækning,Faszikulation,Zuckung,fasciculación,contracción espontánea y desordenada de varias fibras musculares,fasciculation,contraction spontanée d'un muscle,fascicolazione,raggruppamento di fogli in fascicoli,fasciculatie,spiertrillen
658,fatal,fatal,fatal,letal;letífero;mortífero,fatal,uhelbredelig,fatal,fatal,fatal,que produce muerte,fatal,fatal;mortel,fatale,fatale,fataal,noodlottig
659,febrile,feverish,febril,que tem febre;pirético,febril,feberagtig,febril,fieberhaft,febril,relativo a la fiebre;con fiebre,fébrile,fiévreux,febbrile,febbrile,febriel,koortsig
660,feedback,feedback,retroacção,regulação,feed back,etablering af ligevægt ved tilbagekobling,Feedback,1. Rückkoppelung;2. Endprodukthemmung,feedback,regulación,rétrocontrôle,contrôle en retour,feedback,ritorno di informazioni,feedback,terugkoppeling
661,femoral,thigh-related,femoral,pertencente ao osso da coxa,femoralis,lårbens-,femoral,zum Oberschenkel gehörend,femoral,perteneciente al hueso del muslo,fémoral,qui se rapporte au fémur;à la cuisse,femorale,relativo al femore,femoralis,met betrekking tot het dijbeen
662,fermentation,fermentation,fermentação,transformação de substâncias orgânicas noutras substâncias orgânicas,fermentation,gæring,Fermentierung,Fermentierung,fermentación,transformación de sustancias orgánicas en otras sustancias orgánicas,fermentation,fermentation,fermentazione,fermentazione,fermentatie,gisting
